,apen_x,fmean_x,fmed_x,intrange_x,mav_x,mavfd_x,mavsd_x,peak_x,rms_x,sampen_x,srange_x,std_x,var_x,zc_x,Emotion,apen_y,fmean_y,fmed_y,intrange_y,mav_y,mavfd_y,mavsd_y,peak_y,rms_y,sampen_y,srange_y,std_y,var_y,zc_y
3,0.6278048390469402,0.298254484304617,0.30078125,0.5358088550292053,0.24524654588902506,0.400125800585714,0.645235342033586,0.5316195955317614,0.27544690438839003,0.6425547025223117,1.0317584007709195,0.27544667333850376,0.0758708698532484,300,1,0.6407989598188921,0.2951963686258096,0.30078125,0.16478308327822194,0.07549454499969008,0.1228676142660653,0.19847405735884308,0.14235943826327924,0.08457505138704824,0.6501687825910181,0.2829845769881812,0.08457419663062196,0.0071527947357151065,300
4,0.7401827742223501,0.262000852567875,0.30078125,0.5220884660571423,0.24800629376866198,0.39840485227608685,0.6421802447902893,0.628430884303561,0.2813701052252118,0.8681183543633317,1.3210084463597176,0.2813586731146559,0.07916270293683979,300,1,0.8166333643898174,0.24085388441029354,0.30078125,0.17845897127723082,0.09975708908862188,0.12154636190499227,0.1956589512043606,0.39436558000739536,0.12399935542524718,0.8154622093313834,0.7564329770616343,0.12398932582160253,0.015373352917695513,237
5,0.8531331683763757,0.2413978292987381,0.30078125,0.4996053830941252,0.2595639069750623,0.39995722224030117,0.644864346889843,0.7622048509972313,0.30417829131074237,1.0028853553674424,1.5233694991405267,0.304071761440093,0.09245963610528085,288,1,1.1859320491144505,0.19919518780287132,0.30078125,0.1905091905403528,0.11588365579767175,0.12220942663290116,0.19734333160189213,0.3853461902158398,0.14414705913482537,1.4131702723495834,0.8382397329328446,0.14392931871901,0.020715648786918364,179
6,0.6610332350129458,0.21319384635867297,0.30078125,0.5346413582298414,0.2734552937883587,0.3943663362725742,0.6371564860103724,0.8739790043594339,0.32457265490026815,0.8032251698419235,1.8737096942985132,0.324459607024336,0.10527403659038657,278,1,0.7630003418700841,0.06364277408768265,0.01171875,0.1871036166756873,0.10702233517752194,0.12110241179151456,0.19596952939869036,0.49438798461554995,0.13504561256559794,0.6913240259984301,0.8829589519131429,0.13490695507391814,0.018199886527316172,226
0,0.905134375635166,0.29894764196378826,0.30078125,0.5791067222300605,0.2924379944257756,0.44699346179472893,0.7232812031139674,0.9057484179750348,0.34261876554709614,0.8547516604555467,1.7022174271660657,0.3426182904169772,0.11738729292825215,283,0,0.7855356848173027,0.29689600220995516,0.30078125,0.15471108105879025,0.07781782783082508,0.11710951827135692,0.18936028123602652,0.2452886225191052,0.09068787228429091,0.8061427087658102,0.4759295666431261,0.09068084309743933,0.008223015304862412,280
1,1.1471753878611723,0.27639354221363105,0.30078125,0.529589267380461,0.2718397388498898,0.4266986113310458,0.6918973190199703,0.6345141035551375,0.3131952270027538,1.4870307355629555,1.403745011194368,0.31319475973583866,0.09809095752598969,298,0,0.8836839381506283,0.28281889217802186,0.30078125,0.14664051052557353,0.07255851866319231,0.11582646016601363,0.1880141481826528,0.18974313129755827,0.08241282791466012,1.0346652385361297,0.37446741085369106,0.0824069377194172,0.0067909033842919065,299
2,0.910855727471449,0.20766980276556768,0.30078125,0.5685146193892711,0.2870240275195139,0.4413565345869232,0.7165698362300926,0.7934630101488619,0.33293556026877447,1.036754549049507,1.6570617001450567,0.33293105540484014,0.11084308765298073,290,0,0.9642847141997892,0.15080582520921115,0.03125,0.15895747507743233,0.08712564369173445,0.11633086343195527,0.18743122398388637,0.2544942314149893,0.10590761649109737,1.176291076111742,0.5046376773852899,0.10588610899072218,0.011211868077195097,232
3,0.8265127829892336,0.21960546577194642,0.30078125,0.5598731035817701,0.294910691096809,0.42051787522880646,0.6791904631958225,0.9926417500829692,0.35309614708453485,0.924489957890162,1.8835767718360648,0.35267369183591085,0.12437873291317102,258,0,0.7649890426334167,0.1647336342178713,0.296875,0.16671217928592585,0.09168615128932874,0.11789776295714137,0.19088627521762566,0.32705521817726413,0.11275537203775184,0.8693282803062478,0.6334468323403046,0.11248388661793063,0.012652624748675472,241
4,0.9243147562757645,0.2620229130770927,0.30078125,0.5173807141602299,0.2619633246436474,0.4188350451827521,0.6751010622482189,0.7086276460106735,0.30272573309269246,1.0187303191043175,1.2843423076804863,0.3022815804149239,0.09137415385814411,298,0,0.7240293953276229,0.23836450845886717,0.30078125,0.16007399298655722,0.07759180741148101,0.12050767907642197,0.19472889372392144,0.1688516139836486,0.08880484694654496,0.8092573124583602,0.3754412377241928,0.08860549913394375,0.007850934476775307,294
5,0.8146460676685008,0.2942533755514192,0.30078125,0.555556486845197,0.2675628278560411,0.41803961925560074,0.6769358048955186,0.7596858744109455,0.3060819587597348,0.8852290827106131,1.5375436593351712,0.30603507088127496,0.093657464609307,288,0,0.6479253025339702,0.29220711698322227,0.30078125,0.16120826001408856,0.07848625845698726,0.1194750472848967,0.1928266721794,0.2581453830987275,0.09108737531352491,0.6713159189027109,0.5298728004897939,0.09104783546116592,0.008289708342163542,278
